ID, VUR, device
"833","1.0000", smartphone
"834","0.0000", smartphone
"835","0.0000", smartphone
"836","0.5000", smartphone
"838","0.0000", smartphone
"839","0.5000", smartphone
"840","0.5000", smartphone
"842","0.5000", smartphone
"845","0.5000", smartphone
"846","0.0000", smartphone
"847","0.0000", smartphone
"848","0.5000", smartphone
"850","0.5000", smartphone
"851","1.0000", smartphone
"852","0.5000", smartphone
"854","0.5000", smartphone
"855","0.5000", smartphone
"856","0.0000", smartphone
"858","1.0000", smartphone
"859","1.0000", smartphone
"860","1.0000", smartphone
"861","0.5000", smartphone
"862","0.5000", smartphone
"864","1.0000", smartphone
"865","0.0000", smartphone
"866","0.5000", smartphone
"867","0.5000", smartphone
"868","0.5000", smartphone
"871","0.5000", smartphone
"873","1.0000", smartphone
"874","0.5000", smartphone
"875","1.0000", smartphone
"876","0.5000", smartphone
"877","0.5000", smartphone
"878","0.5000", smartphone
"879","0.0000", smartphone
"880","0.0000", smartphone
"881","0.0000", smartphone
"882","0.5000", smartphone
"884","0.5000", smartphone
"885","0.5000", smartphone
"886","1.0000", smartphone
"888","0.5000", smartphone
"889","0.5000", smartphone
"891","0.0000", smartphone
"893","0.0000", smartphone
"894","0.0000", smartphone
"895","0.5000", smartphone
"896","0.0000", smartphone
"897","0.5000", smartphone
"899","1.0000", smartphone
"901","1.0000", smartphone
"902","0.0000", smartphone
"903","0.0000", smartphone
"904","0.0000", smartphone
"905","1.0000", smartphone
"906","0.5000", smartphone
"907","0.0000", smartphone
"909","0.5000", smartphone
"910","1.0000", smartphone
"911","0.0000", smartphone
"916","1.0000", smartphone
"917","0.0000", smartphone
"920","0.0000", smartphone
"922","0.5000", smartphone
"924","0.5000", smartphone
"926","1.0000", smartphone
"927","1.0000", smartphone
"928","0.0000", smartphone
"930","1.0000", smartphone
"931","0.0000", smartphone
"932","1.0000", smartphone
"935","0.5000", smartphone
"936","1.0000", smartphone
"938","0.0000", smartphone
"939","0.5000", smartphone
"940","1.0000", smartphone
"941","0.0000", smartphone
"944","0.5000", smartphone
"945","0.0000", smartphone
"948","0.0000", smartphone
"950","0.0000", smartphone
"952","0.5000", smartphone
"956","0.5000", smartphone
"957","1.0000", smartphone
"959","1.0000", smartphone
"960","0.0000", smartphone
"963","0.5000", smartphone
"965","0.5000", smartphone
"966","0.5000", smartphone
"967","0.0000", smartphone
"968","0.0000", smartphone
"969","0.5000", smartphone
"970","0.5000", smartphone
"971","0.5000", smartphone
"973","1.0000", smartphone
"974","1.0000", smartphone
"975","0.0000", smartphone
"977","0.0000", smartphone
"978","0.5000", smartphone
"979","0.5000", smartphone
"981","0.0000", smartphone
"984","0.5000", smartphone
"987","0.5000", smartphone
"988","0.5000", smartphone
"989","0.5000", smartphone
"990","0.5000", smartphone
"991","1.0000", smartphone
"993","0.5000", smartphone
"994","0.0000", smartphone
"997","1.0000", smartphone
"998","0.5000", smartphone
"999","0.0000", smartphone
"1000","1.0000", smartphone
"1001","1.0000", smartphone
"1003","1.0000", smartphone
"1004","0.0000", smartphone
"1006","0.0000", smartphone
"1007","0.5000", smartphone
"1008","1.0000", smartphone
"1009","0.0000", smartphone
"1010","0.5000", smartphone
"1011","0.5000", smartphone
"1013","0.0000", smartphone
"1014","0.5000", smartphone
"1016","1.0000", smartphone
"1017","0.0000", smartphone
"1018","0.0000", smartphone
"1019","0.5000", smartphone
"1020","1.0000", smartphone
"1021","0.5000", smartphone
"1022","0.0000", smartphone
"1024","0.5000", smartphone
"1026","1.0000", smartphone
"1027","0.0000", smartphone
"1028","0.0000", smartphone
"1029","1.0000", smartphone
"1030","0.0000", smartphone
"1033","0.5000", smartphone
"1034","0.5000", smartphone
"1035","0.0000", smartphone
"1036","0.5000", smartphone
"1037","0.0000", smartphone
"1038","0.0000", smartphone
"1039","0.5000", smartphone
"1040","0.5000", smartphone
"1041","0.5000", smartphone
"1042","0.0000", smartphone
"1043","0.0000", smartphone
"1045","0.5000", smartphone
"1047","0.0000", smartphone
"1048","0.0000", smartphone
"1049","0.5000", smartphone
"1050","0.5000", smartphone
"1051","0.5000", smartphone
"1053","1.0000", smartphone
"1054","1.0000", smartphone
"1056","1.0000", smartphone
"1058","0.5000", smartphone
"1059","1.0000", smartphone
"1061","0.5000", smartphone
"1062","1.0000", smartphone
"1063","0.5000", smartphone
"1064","1.0000", smartphone
"1065","0.5000", smartphone
"1066","0.5000", smartphone
"1067","0.0000", smartphone
"1069","0.5000", smartphone
"1070","0.0000", smartphone
"1071","0.0000", smartphone
"1072","0.0000", smartphone
"1073","0.0000", smartphone
"1074","0.0000", smartphone
"1075","0.5000", smartphone
"1076","0.0000", smartphone
"1077","0.5000", smartphone
"1078","0.5000", smartphone
"1079","0.5000", smartphone
"1080","0.5000", smartphone
"1082","0.5000", smartphone
"1084","0.0000", smartphone
"1088","0.5000", smartphone
"1090","1.0000", smartphone
"1091","0.5000", smartphone
"1092","0.5000", smartphone
"1093","0.5000", smartphone
"1094","0.0000", smartphone
"1095","0.0000", smartphone
"1096","0.0000", smartphone
"1097","0.0000", smartphone
"1098","0.0000", smartphone
"1099","0.0000", smartphone
"1100","0.5000", smartphone
"1101","0.5000", smartphone
"1103","1.0000", smartphone
"1104","0.5000", smartphone
"1105","1.0000", smartphone
"1106","0.0000", smartphone
"1107","0.5000", smartphone
"1108","0.5000", smartphone
"1111","0.5000", smartphone
"1113","0.5000", smartphone
"1114","1.0000", smartphone
"1115","0.5000", smartphone
"1116","0.5000", smartphone
"1118","0.0000", smartphone
"1119","0.5000", smartphone
"1121","0.5000", smartphone
"1122","0.5000", smartphone
"1123","0.0000", smartphone
"1124","0.5000", smartphone
"1125","0.5000", smartphone
"1126","1.0000", smartphone
