participantID, age, gender, education, IUIPC, ownership, data, device, recipient, likert
617, 32, Male, Bachelors, 64, No, "vibration", smartphone, noone, 2 
617, 32, Male, Bachelors, 64, No, "sent premium texts or calls", smartphone, noone, 5 
617, 32, Male, Bachelors, 64, No, " your gender ", cubetastic3000, appserver, 1 
617, 32, Male, Bachelors, 64, No, " when you were happy or having fun ", cubetastic3000, friends, 3 
617, 32, Male, Bachelors, 64, No, " an incriminating photo of you doing something embarrassing ", cubetastic3000, friends, 5 
617, 32, Male, Bachelors, 64, No, " a video of you intoxicated ", cubetastic3000, appserver, 5 
617, 32, Male, Bachelors, 64, No, " how much you use your computer ", cubetastic3000, friends, 4 
617, 32, Male, Bachelors, 64, No, " your social security number ", cubetastic3000, friends, 5 
1761, 30, Female, Masters, 61, No, "connected to a bluetooth device", smartphone, noone, 4 
1761, 30, Female, Masters, 61, No, "unmuted a call", smartphone, noone, 5 
1761, 30, Female, Masters, 61, No, " when you are busy or interruptible ", cubetastic3000, work, 5 
1761, 30, Female, Masters, 61, No, " shared photos others sent to you saved on your device ", cubetastic3000, work, 5 
1761, 30, Female, Masters, 61, No, " shared videos you which are already on your device ", cubetastic3000, public, 5 
1761, 30, Female, Masters, 61, No, " a video of you entering in a digital passcode to a locked door ", cubetastic3000, work, 5 
1761, 30, Female, Masters, 61, No, " how much you use your computer ", cubetastic3000, friends, 5 
1761, 30, Female, Masters, 61, No, " your name ", cubetastic3000, work, 4 
1104, 32, Male, Masters, 61, No, "vibration", smartphone, noone, 1 
1104, 32, Male, Masters, 61, No, "sent premium texts or calls", smartphone, noone, 5 
1104, 32, Male, Masters, 61, No, " your age ", cubetastic3000, friends, 5 
1104, 32, Male, Masters, 61, No, " how you were feeling based on heart rate, breathing, and/or temperature ", cubetastic3000, public, 5 
1104, 32, Male, Masters, 61, No, " when you were happy or having fun ", cubetastic3000, appserver, 2 
1104, 32, Male, Masters, 61, No, " an incriminating photo of you doing something embarrassing ", cubetastic3000, work, 5 
1104, 32, Male, Masters, 61, No, " videos of you (with an inward-facing camera) at home ", cubetastic3000, appserver, 5 
1104, 32, Male, Masters, 61, No, " when and how much you spend time alone ", cubetastic3000, appserver, 4 
2346, 25, Male, Masters, 65, No, "unmuted a call", smartphone, noone, 4 
2346, 25, Male, Masters, 65, No, "sent premium texts or calls", smartphone, noone, 5 
2346, 25, Male, Masters, 65, No, " copied and uploaded music from your device ", cubetastic3000, appserver, 4 
2346, 25, Male, Masters, 65, No, " shared photos others sent to you saved on your device ", cubetastic3000, public, 5 
2346, 25, Male, Masters, 65, No, " photos of you (with an inward-facing camera) at random ", cubetastic3000, friends, 5 
2346, 25, Male, Masters, 65, No, " shared videos others sent you saved on your device ", cubetastic3000, appserver, 5 
2346, 25, Male, Masters, 65, No, " videos at work (with an outward-facing camera) ", cubetastic3000, appserver, 5 
2346, 25, Male, Masters, 65, No, " how much you use your computer ", cubetastic3000, friends, 5 
330, 26, Male, Somecollege, 64, No, "unmuted a call", smartphone, noone, 5 
330, 26, Male, Somecollege, 64, No, "took screenshots while using other apps", smartphone, noone, 4 
330, 26, Male, Somecollege, 64, No, " the language you were speaking ", cubetastic3000, public, 1 
330, 26, Male, Somecollege, 64, No, " your heart rate ", cubetastic3000, public, 1 
330, 26, Male, Somecollege, 64, No, " when, how much, and what you are eating ", cubetastic3000, friends, 1 
330, 26, Male, Somecollege, 64, No, " when you were happy or having fun ", cubetastic3000, friends, 4 
330, 26, Male, Somecollege, 64, No, " copied and uploaded music from your device ", cubetastic3000, work, 4 
330, 26, Male, Somecollege, 64, No, " a video of you entering in your PIN at an ATM ", cubetastic3000, public, 5 
2074, 19, Male, Somecollege, 55, No, "unmuted a call", smartphone, noone, 3 
2074, 19, Male, Somecollege, 55, No, "sent premium texts or calls", smartphone, noone, 5 
2074, 19, Male, Somecollege, 55, No, " recorded the sound around you ", cubetastic3000, public, 5 
2074, 19, Male, Somecollege, 55, No, " a photo of you unclothed ", cubetastic3000, public, 5 
2074, 19, Male, Somecollege, 55, No, " what websites you go to ", cubetastic3000, public, 5 
2074, 19, Male, Somecollege, 55, No, " your social security number ", cubetastic3000, public, 5 
2074, 19, Male, Somecollege, 55, No, " your username and password for websites ", cubetastic3000, work, 5 
2074, 19, Male, Somecollege, 55, No, " how much debt you have ", cubetastic3000, appserver, 5 
619, 21, Male, Somecollege, 59, Yes, "connected to a bluetooth device", smartphone, noone, 5 
619, 21, Male, Somecollege, 59, Yes, "sent premium texts or calls", smartphone, noone, 4 
619, 21, Male, Somecollege, 59, Yes, " scanned your eye to learn your eye patterns (for eye tracking) ", cubetastic3000, work, 4 
619, 21, Male, Somecollege, 59, Yes, " when and how well you are sleeping ", cubetastic3000, appserver, 4 
619, 21, Male, Somecollege, 59, Yes, " recorded your passing conversations ", cubetastic3000, public, 3 
619, 21, Male, Somecollege, 59, Yes, " where you live somehow (looking at your map settings or history or observing documents and commutes) ", cubetastic3000, work, 4 
619, 21, Male, Somecollege, 59, Yes, " how much you use your computer ", cubetastic3000, work, 5 
619, 21, Male, Somecollege, 59, Yes, " what websites you go to ", cubetastic3000, work, 5 
996, 30, Male, Bachelors, 39, Yes, "took screenshots while using other apps", smartphone, noone, 3 
996, 30, Male, Bachelors, 39, Yes, "sent premium texts or calls", smartphone, noone, 4 
996, 30, Male, Bachelors, 39, Yes, "vibration", cubetastic3000, noone, 2 
996, 30, Male, Bachelors, 39, Yes, " recorded your phone conversations ", cubetastic3000, appserver, 4 
996, 30, Male, Bachelors, 39, Yes, " a photo of you intoxicated ", cubetastic3000, appserver, 3 
996, 30, Male, Bachelors, 39, Yes, " videos of you (with an inward-facing camera) at random ", cubetastic3000, appserver, 4 
996, 30, Male, Bachelors, 39, Yes, " an incriminating video of you doing something embarrassing ", cubetastic3000, work, 4 
996, 30, Male, Bachelors, 39, Yes, " a video of you off-guard ", cubetastic3000, friends, 3 
569, 38, Male, Graduate, 70, Yes, "unmuted a call", smartphone, noone, 5 
569, 38, Male, Graduate, 70, Yes, "sent premium texts or calls", smartphone, noone, 5 
569, 38, Male, Graduate, 70, Yes, " when, how, and how much you exercise ", cubetastic3000, public, 5 
569, 38, Male, Graduate, 70, Yes, " when and how much you have sex ", cubetastic3000, public, 5 
569, 38, Male, Graduate, 70, Yes, " a video of you entering in a digital passcode to a locked door ", cubetastic3000, public, 5 
569, 38, Male, Graduate, 70, Yes, " your social security number ", cubetastic3000, friends, 5 
569, 38, Male, Graduate, 70, Yes, " your credit card information ", cubetastic3000, public, 5 
2010, 32, Female, Masters, 34, No, "unmuted a call", smartphone, noone, 3 
