participantID, age, gender, education, IUIPC, data, device, recipient, likert
2346, 25, Male, Masters, 65, " shared photos others sent to you saved on your device ", cubetastic3000, public, 5 
2346, 25, Male, Masters, 65, " photos of you (with an inward-facing camera) at random ", cubetastic3000, friends, 5 
2346, 25, Male, Masters, 65, " shared videos others sent you saved on your device ", cubetastic3000, appserver, 5 
2346, 25, Male, Masters, 65, " videos at work (with an outward-facing camera) ", cubetastic3000, appserver, 5 
2346, 25, Male, Masters, 65, " how much you use your computer ", cubetastic3000, friends, 5 
330, 26, Male, Somecollege, 64, "unmuted a call", smartphone, noone, 5 
330, 26, Male, Somecollege, 64, "took screenshots while using other apps", smartphone, noone, 4 
330, 26, Male, Somecollege, 64, " the language you were speaking ", cubetastic3000, public, 1 
330, 26, Male, Somecollege, 64, " your heart rate ", cubetastic3000, public, 1 
330, 26, Male, Somecollege, 64, " when, how much, and what you are eating ", cubetastic3000, friends, 1 
330, 26, Male, Somecollege, 64, " when you were happy or having fun ", cubetastic3000, friends, 4 
330, 26, Male, Somecollege, 64, " copied and uploaded music from your device ", cubetastic3000, work, 4 
330, 26, Male, Somecollege, 64, " a video of you entering in your PIN at an ATM ", cubetastic3000, public, 5 
2074, 19, Male, Somecollege, 55, "unmuted a call", smartphone, noone, 3 
2074, 19, Male, Somecollege, 55, "sent premium texts or calls", smartphone, noone, 5 
2074, 19, Male, Somecollege, 55, " recorded the sound around you ", cubetastic3000, public, 5 
2074, 19, Male, Somecollege, 55, " a photo of you unclothed ", cubetastic3000, public, 5 
2074, 19, Male, Somecollege, 55, " what websites you go to ", cubetastic3000, public, 5 
2074, 19, Male, Somecollege, 55, " your social security number ", cubetastic3000, public, 5 
2074, 19, Male, Somecollege, 55, " your username and password for websites ", cubetastic3000, work, 5 
2074, 19, Male, Somecollege, 55, " how much debt you have ", cubetastic3000, appserver, 5 
619, 21, Male, Somecollege, 59, "connected to a bluetooth device", smartphone, noone, 5 
619, 21, Male, Somecollege, 59, "sent premium texts or calls", smartphone, noone, 4 
619, 21, Male, Somecollege, 59, " scanned your eye to learn your eye patterns (for eye tracking) ", cubetastic3000, work, 4 
619, 21, Male, Somecollege, 59, " when and how well you are sleeping ", cubetastic3000, appserver, 4 
619, 21, Male, Somecollege, 59, " recorded your passing conversations ", cubetastic3000, public, 3 
619, 21, Male, Somecollege, 59, " where you live somehow (looking at your map settings or history or observing documents and commutes) ", cubetastic3000, work, 4 
619, 21, Male, Somecollege, 59, " how much you use your computer ", cubetastic3000, work, 5 
619, 21, Male, Somecollege, 59, " what websites you go to ", cubetastic3000, work, 5 
996, 30, Male, Bachelors, 39, "took screenshots while using other apps", smartphone, noone, 3 
996, 30, Male, Bachelors, 39, "sent premium texts or calls", smartphone, noone, 4 
